#timestamp x y z qx qy qz qw
1716306517.493144 -5.615228 -5.144422 0.348925 0.064201 0.726473 0.623269 -0.282226
1716306518.093227 -5.762009 -5.214705 0.330354 -0.011076 0.718330 0.656404 -0.230245
1716306518.493282 -5.830869 -5.215911 0.308312 -0.051571 0.715533 0.675131 -0.171905
1716306519.093364 -5.916032 -5.119536 0.260702 -0.158296 0.693417 0.687529 -0.146353
1716306519.693447 -5.982160 -5.062928 0.209271 -0.247319 0.659496 0.702227 -0.103802
1716306520.293530 -6.014939 -5.057366 0.179375 -0.294239 0.644731 0.700663 -0.082564
1716306520.893613 -6.025694 -5.082959 0.147837 -0.337385 0.624142 0.701799 -0.064003
1716306521.293668 -6.055419 -5.100065 0.103172 -0.364635 0.614280 0.698791 -0.037327
1716306521.893752 -6.121702 -5.205357 -0.066345 -0.389103 0.590162 0.707167 0.014927
1716306522.293807 -6.147056 -5.273739 -0.241529 -0.417083 0.574904 0.702571 0.043847
1716306522.693862 -6.148470 -5.291272 -0.420453 -0.430234 0.580331 0.689848 0.047159
1716306523.093918 -6.138000 -5.288960 -0.512679 -0.395557 0.590960 0.702381 0.031004
1716306523.694003 -6.141647 -5.264558 -0.556263 -0.377769 0.597120 0.707592 0.007223
1716306524.494112 -6.172679 -5.195467 -0.497165 -0.360806 0.607614 0.706819 0.032122
1716306524.894167 -6.224104 -5.133401 -0.428017 -0.363226 0.604065 0.708413 0.036373
1716306525.494251 -6.282708 -5.095017 -0.300123 -0.348362 0.618132 0.696225 0.108754
1716306525.894307 -6.285507 -5.067056 -0.106296 -0.322531 0.619917 0.712100 0.067754
1716306526.294363 -6.311925 -4.995950 0.004355 -0.326902 0.591734 0.736849 0.006251
1716306526.694419 -6.318203 -4.956102 0.069354 -0.316616 0.564571 0.760123 -0.056797
1716306527.094474 -6.406189 -4.932046 0.074873 -0.323426 0.596358 0.732492 -0.056648
1716306527.694557 -6.536359 -4.928483 0.126793 -0.290789 0.618540 0.723739 -0.095147
1716306528.094613 -6.600765 -4.823860 0.140398 -0.296444 0.596273 0.732621 -0.140878
1716306528.694697 -6.706283 -4.689754 0.119153 -0.337237 0.595894 0.720342 -0.110854
1716306529.294781 -6.891585 -4.663191 0.084077 -0.374986 0.538773 0.750050 -0.080833
1716306529.694837 -7.014680 -4.635205 0.073450 -0.432139 0.523338 0.726897 -0.104853
1716306530.094893 -7.113302 -4.547059 0.054966 -0.476777 0.456770 0.735786 -0.150544
1716306530.494949 -7.176972 -4.520401 0.034703 -0.524648 0.433673 0.713242 -0.167206
1716306530.895004 -7.290798 -4.558332 0.010033 -0.549134 0.405243 0.706553 -0.187116
1716306531.295060 -7.424486 -4.592511 -0.007298 -0.569014 0.389602 0.700466 -0.183793
1716306531.695116 -7.571651 -4.594070 -0.031892 -0.605674 0.324827 0.691407 -0.222716
1716306532.095172 -7.682092 -4.593008 -0.043401 -0.625173 0.295580 0.680470 -0.242388
1716306532.495228 -7.754435 -4.645373 -0.057348 -0.625041 0.283656 0.691704 -0.224518
1716306532.895284 -7.796035 -4.700785 -0.085004 -0.647023 0.260487 0.680826 -0.223571
1716306533.095311 -7.812234 -4.710904 -0.101853 -0.656194 0.229197 0.686148 -0.214660
1716306533.895425 -7.840076 -4.694713 -0.014408 -0.612539 0.283959 0.671748 -0.304823
1716306534.295480 -7.828487 -4.683129 0.080330 -0.568078 0.353142 0.620780 -0.408914
1716306534.695536 -7.810652 -4.668637 0.162398 -0.526616 0.382758 0.604833 -0.458638
1716306535.295619 -7.810646 -4.598763 0.232667 -0.495824 0.428540 0.582163 -0.481247
1716306535.695676 -7.807861 -4.570017 0.269511 0.482837 -0.452909 -0.555800 0.502820
1716306536.495788 -7.819475 -4.524276 0.323641 0.439506 -0.513325 -0.498687 0.542809
1716306537.095872 -7.816702 -4.483594 0.349364 0.405965 -0.544641 -0.451357 0.578650
1716306537.695956 -7.782631 -4.436662 0.376789 0.347896 -0.578836 -0.419327 0.606698
1716306538.296041 -7.706297 -4.392402 0.382179 0.267647 -0.621543 -0.426219 0.600323
1716306538.896124 -7.652576 -4.333786 0.376177 0.220272 -0.645488 -0.491816 0.541242
